emotion,emotion_score
"['neutral', 'surprise', 'neutral', 'surprise', 'neutral', 'disgust', 'anger', 'disgust', 'neutral', 'anger', 'neutral', 'surprise', 'sadness', 'neutral', 'disgust', 'neutral', 'fear', 'neutral', 'sadness', 'fear', 'anger', 'sadness', 'disgust', 'neutral', 'anger', 'neutral', 'sadness', 'disgust']","[0.5644843578338623, 0.369555801153183, 0.659775972366333, 0.3024674355983734, 0.5439438819885254, 0.1724078357219696, 0.13318908214569092, 0.44724854826927185, 0.31472691893577576, 0.19928105175495148, 0.6188037991523743, 0.10356593132019043, 0.8511455655097961, 0.5539864301681519, 0.1661018431186676, 0.889586329460144, 0.8377196788787842, 0.5986796617507935, 0.12280703336000443, 0.11789745092391968, 0.11352679133415222, 0.9608947038650513, 0.5754802227020264, 0.2231864035129547, 0.15778082609176636, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['neutral', 'joy', 'surprise', 'fear', 'surprise', 'neutral', 'surprise', 'sadness', 'neutral', 'joy', 'surprise', 'sadness', 'neutral', 'surprise', 'surprise', 'fear', 'sadness', 'neutral', 'surprise', 'joy', 'neutral', 'joy', 'surprise', 'fear', 'neutral', 'sadness', 'neutral', 'surprise', 'joy', 'neutral', 'sadness', 'disgust']","[0.43464770913124084, 0.33749470114707947, 0.1974930465221405, 0.5000776648521423, 0.3070398271083832, 0.10913432389497757, 0.6599900126457214, 0.1356145143508911, 0.4764934480190277, 0.19946223497390747, 0.18108920753002167, 0.40652915835380554, 0.28249314427375793, 0.2385859340429306, 0.8702371120452881, 0.10567791759967804, 0.43593937158584595, 0.2109299749135971, 0.1582382172346115, 0.12869928777217865, 0.3950241804122925, 0.33145204186439514, 0.19693952798843384, 0.38813549280166626, 0.25999143719673157, 0.1740737110376358, 0.4064486622810364, 0.3718114495277405, 0.1401379257440567, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['joy', 'neutral', 'surprise', 'neutral', 'sadness', 'surprise', 'neutral', 'anger', 'disgust', 'neutral', 'surprise', 'neutral', 'joy', 'neutral', 'surprise', 'neutral', 'joy', 'neutral', 'joy', 'surprise', 'neutral', 'neutral', 'neutral', 'neutral', 'joy', 'surprise']","[0.650750458240509, 0.17979981005191803, 0.13707147538661957, 0.5538877248764038, 0.20384283363819122, 0.3869592547416687, 0.28357744216918945, 0.14857178926467896, 0.1309933215379715, 0.7607858180999756, 0.16596010327339172, 0.7662729620933533, 0.1368142068386078, 0.5931985974311829, 0.17734090983867645, 0.5684491991996765, 0.3594500720500946, 0.7986904978752136, 0.7289819121360779, 0.125369131565094, 0.10294598340988159, 0.9097869992256165, 0.9108238816261292, 0.4949564039707184, 0.21939173340797424, 0.13746576011180878]"
"['neutral', 'surprise', 'neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral', 'surprise', 'neutral', 'anger', 'surprise', 'joy']","[0.8010519742965698, 0.17084896564483643, 0.9180302619934082, 0.9285967946052551, 0.7507964968681335, 0.1776076704263687, 0.6891717910766602, 0.4478754997253418, 0.43886348605155945, 0.5944096446037292, 0.13222849369049072, 0.11133022606372833, 0.10018663108348846]"
"['joy', 'anger', 'surprise', 'neutral', 'neutral', 'sadness', 'neutral', 'neutral', 'surprise', 'sadness', 'surprise', 'neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral', 'joy', 'neutral', 'joy', 'neutral', 'surprise']","[0.9718447327613831, 0.4330942630767822, 0.30775344371795654, 0.17821834981441498, 0.7308957576751709, 0.10446018725633621, 0.9186529517173767, 0.8205746412277222, 0.10413889586925507, 0.846072793006897, 0.1031399667263031, 0.9178861975669861, 0.8658448457717896, 0.8952004909515381, 0.945487380027771, 0.9550437927246094, 0.9494362473487854, 0.8368231654167175, 0.13044701516628265, 0.5724072456359863, 0.20473915338516235, 0.17425034940242767]"
"['sadness', 'anger', 'sadness', 'neutral', 'surprise', 'anger', 'fear', 'sadness', 'fear', 'sadness', 'neutral', 'anger', 'surprise', 'sadness', 'neutral', 'surprise', 'anger', 'sadness', 'joy', 'neutral', 'surprise', 'anger', 'sadness', 'disgust', 'surprise', 'sadness', 'anger', 'neutral', 'sadness', 'disgust']","[0.7065859436988831, 0.12762205302715302, 0.4890034794807434, 0.235950767993927, 0.13175848126411438, 0.11056406795978546, 0.7079900503158569, 0.2579589784145355, 0.2663669288158417, 0.20204684138298035, 0.16479307413101196, 0.1179514154791832, 0.10200686007738113, 0.8589136004447937, 0.6775705218315125, 0.23498691618442535, 0.7173745632171631, 0.20882326364517212, 0.969302773475647, 0.5557253360748291, 0.3595810532569885, 0.5853556990623474, 0.21530145406723022, 0.3721197843551636, 0.2224234789609909, 0.19963978230953217, 0.12188271433115005, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['neutral', 'surprise', 'surprise', 'sadness', 'neutral', 'surprise', 'neutral', 'neutral', 'sadness', 'sadness', 'neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral', 'joy', 'neutral', 'neutral', 'sadness', 'joy', 'neutral', 'sadness', 'disgust']","[0.8401360511779785, 0.12199145555496216, 0.5260753035545349, 0.3821794092655182, 0.8183039426803589, 0.13860133290290833, 0.9386301636695862, 0.606459379196167, 0.3351616859436035, 0.663653552532196, 0.24068136513233185, 0.9311062693595886, 0.7508529424667358, 0.20120185613632202, 0.9344979524612427, 0.7315433025360107, 0.22362756729125977, 0.8855805993080139, 0.36514610052108765, 0.34042471647262573, 0.12436410784721375, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['anger', 'sadness', 'disgust', 'sadness', 'neutral', 'sadness', 'anger', 'neutral', 'anger', 'neutral', 'neutral', 'surprise', 'neutral', 'sadness', 'disgust', 'neutral', 'sadness', 'disgust', 'disgust', 'anger', 'neutral', 'sadness', 'disgust']","[0.46233004331588745, 0.2768365144729614, 0.13908959925174713, 0.7236604690551758, 0.15666744112968445, 0.44110292196273804, 0.2502113878726959, 0.20813190937042236, 0.7622597217559814, 0.17903560400009155, 0.6933239698410034, 0.16520428657531738, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.6168237328529358, 0.21673838794231415, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['joy', 'neutral', 'anger', 'surprise', 'neutral', 'neutral', 'fear', 'anger', 'neutral', 'neutral', 'surprise', 'neutral', 'surprise', 'joy', 'neutral', 'anger', 'neutral', 'sadness', 'disgust']","[0.7277175188064575, 0.21884410083293915, 0.3631596863269806, 0.28205177187919617, 0.22299697995185852, 0.8409431576728821, 0.7027424573898315, 0.10218362510204315, 0.8272037506103516, 0.5721544027328491, 0.3047035336494446, 0.5712205767631531, 0.2644626796245575, 0.11830427497625351, 0.46653348207473755, 0.31253358721733093, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['surprise', 'joy', 'fear', 'neutral', 'joy', 'surprise', 'neutral', 'neutral', 'neutral', 'sadness', 'neutral', 'surprise', 'joy', 'neutral', 'joy', 'neutral', 'neutral', 'neutral', 'sadness', 'disgust']","[0.34929159283638, 0.3440452218055725, 0.13956640660762787, 0.1183222308754921, 0.4477823078632355, 0.2789735496044159, 0.15461285412311554, 0.8973151445388794, 0.6155235767364502, 0.21776007115840912, 0.5931951999664307, 0.2540087401866913, 0.11597979068756104, 0.8976365923881531, 0.817685604095459, 0.15361058712005615, 0.8444388508796692, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
