review_id,business_id,user_id,date,stars,text
9W0w97wiLa4KwXZ4RCE1FQ,KhXE6BV9JH6-sl6csz7E0g,RI9MqHrVqzZ0AgSXlGvx5A,2016-04-29 17:59:27,1.0,"My husband and I went there three weeks ago in the afternoon, it was about 3 o'clock on a weekday. There were two ladies waiting ahead of us I thought they were waiting for other people, we waited about five minutes there before they were seated and there were plenty of seats. The hostess came back and then walked back again into the kitchen area for the second time without a word to us, we waited another seven minutes, I said I was going to count this, and no one ever came to seat us. A gentleman came to the greeting podium ignored us, so we left. I called to ask to speak to the manager and was told they were busy, so I reported what happened to us to the person that answered the phone and they said, OK. No apology. Nothing. We've been going to this Red Lobster since the 70's. My husband worked there when they were on the west side of Moller Rd when we were in high school. I'll never go back. It's sad whet is happening to the west side of Indy. This is what happens when you hire mannerless, low quality people."
Yk6oEXgRwqw7Q9mZzPbS8A,luUGLqA3Gxv5raCJOAzblw,rKGTBWaFgu8a60DFqeK3Fg,2018-06-10 13:05:28,3.0,"We came here on Saturday night after watching the Belmont at Delaware Park.  We were greeted upon entering with a short five minute wait.   It was much longer to sit on the patio.  We opted for the bar area. I wish we would have been given a bar menu instead of just dinner menus as I would have liked a smaller meal.  Our waiter seemed overwhelmed with bar tables and took some time to finally take our food orders.   He was nice and polite but just seemed overworked.   We both ordered cheeseburgers with tater tots.  
Meal was decent but we probably would not come back.   The place is in a strip, typical chain house menu, and nothing special that would make us return with all the other restaurants in the area."
OC77WaRpdwiujj70cGhwIg,U7JypsxzjH5f41NFZ82bdw,eWu1xPt52B-yMZmIyBIUsw,2012-03-05 18:45:16,4.0,"So I am one of those people that reviews fast food and this place really deserves the review I am giving. 

This JItB used to be the ""one"" we would always avoid mainly because it took forever to get your food and it was always just lackluster when you finally got it. (I know some people are rolling their eyes thinking, yeah that is what fast food is.)

Recently they went through a remodel and maybe a management change. The new interior is really Nice and allot cleaner than it was previously. 

I actually dropped in here because the JItB on Washington had been crappy the last few times I went. But here both the drive through and walk in we're fast and the people were friendly. 

Once I got home with the goods my wife and I opened our burger wrappers and lets just say you don't see a fast food burger put together this well very often. Also the taste of the burger was incredible. They must be actually spicing the patties now or something. Also the curly fries were not fried to a crisp and all little shards. We have been back a couple of times and they have been really consistent, so whatever the change was with the food we are liking it Jack!"
9ZufNcTWsEVFmg6WPUebyA,-t1hxZ6X-XaIU4BBUQCXGA,Fa00Bcgu0hihpDGbdHaUeA,2017-04-05 23:24:55,4.0,There are several Pizza Huts in the greater Philadelphia area - but this particular location consistently goes above and beyond. Excellent customer service. Polite delivery team. Pies always delivered within their promised window and in PERFECT condition. It's so easy to write a review SLAMMING folks for poor service or quality - I wanted to make a point of taking the time to sing their praises. Too tired to cook? Live within the delivery zone? (I'm Old City - they're So. Philly) Call the team on Girard Avenue!
7In43zh1oVmU3Bj7gD7WSA,41QlNQkkCVvmzOPSFFz1FA,Dh6OTRg1ajZ6QLZgbOTcBQ,2016-04-10 00:22:04,5.0,"I love this place! I come here all the time in the spring time. Why? Because I keep buying plants because something happens to them. Or I just have a black thumb. I usually pick a few herbs during a sale and pick a few veggie plants for the garden box. The peony from last year grew back this year. I wanted another one, but didn't see it today. I picked up a hydrangea plant instead. Will see if it comes back next year. This location has a better selection of garden stuff than the south location. 

I also like coming here for my DIY projects when one comes to mind. There is a lot you can do with pvc pipes and magnet stuff. 

If you plan to buy a large quantity of something heavy like bricks, you can call ahead and they will pick it and load it on a cart for you, so you will only have to load the car. 

Staff is always friendly to me and my furbaby. They have treats too!"
Ckfb4vw4yam2mAAICkirFQ,mKfsOT9yi5HPt4ytvN4iTw,Rh0U27mO8f0OgmWUme6jKw,2013-03-05 19:47:21,1.0,"i had the same issue as the other poster - the pizza not being cooked.  We wanted a refund - after some hassle and rudeness from the staff - we finally got one and they came to pick up the pizza - but ended up paying $5 (tip) that they ""couldn't"" refund even though we paid that prior to knowing the pizza that was delivered was inedible.  We paid $5 to almost be poisoned.   

But at work - my coworker and I thought we would give it another go at lunch time instead.  I wish we could attach pictures.  We got the sliders.  Most of which are burnt.  I'm glad I paid the extra $1 something for extra cheese on three of them because the ones I trusted to have regular cheese are barely covered in it.  The pepperoni we ordered looks like it was put on after the pizza was cooked.  

Shame on me for giving them another chance.  Shame on them for thinking what they spew out is food."
8JNx-H1FG0Bz_tjYqfbNsA,HOUmGe9ij2LS4Vnzqi_Asg,HR5TCqAjP9rlM_n_BA0JfA,2015-06-15 04:06:24,2.0,"This Starbucks location is a franchisee located in the Bridgeton Target. I frequent this Starbucks when I am on a Target run and unfortunately it's the only one located on this long busy business strip.

There is an obvious difference between this franchisee Starbucks and other company owned Starbucks. They never have all the same pastries, wraps and salads that you'll find at a company owned Starbucks. They also receive limited quantities for seasonal drink additives so when they run out, they run out and they aren't able to restock.

Getting a consistent drink here is really hit or miss. The Associates here are not trained like Starbucks Baristas; so one day they may be stocking, one day they may be cashiers and the next day they may be here at the Starbucks counter. Over the past year I've become familiar with at least two ladies that work here often and when I come for an afternoon run and they are extremely helpful. I no longer have to state how many pumps of toffee-nut or mocha I would like in my drink (keep in mind you never have to do that at a company owned store because they are trained on proper usage and only deviate per customer requests). This location has lots of the regular Starbucks swag and seasonal coffee. Now you can get the 10-cent discount on your drink purchase when you bring in a travel coffee mug.  All in all, in a pinch and needing a legal addictive stimulant - this place will do."
1aKq_WYHKI8CFMk1EuViIA,_VVA_fbTM8eKQq4A57Y_dA,8JOcYiFEpNHxXZsijq7FeA,2018-03-22 20:34:21,1.0,"This Domino's took my money and never delivered my pizza. It's been weeks and I've tried to reach out to the store and I'm always put on hold. Then I reached out to Corporate and they told me that they reached out to the owner, with no response. All I want is my money back and they will NEVER be bothered with me again.
     This is not for all stores, just this one...Just unprofessional."
hkKK9W7o6RpPT_0TMSaHqA,-v1Ia8G_G00SuygAm6koUg,NRGJ4IvauajqqCbhT640cw,2012-06-07 04:55:25,4.0,"This Wawa is one of the many reasons I like Philly. They make everything so damn convenient! Want a made-to-order sub 24/7? They can do that. Want to order it on a computer so you can wander the store and not wait on a long line? Sure, they'll rock that. .99cent ATM? OK. 

Never been to Wawa? Imagine 7-11 and Subway merged together but improved their subs and the quality of, well, everything else. That my friends, is Wawa. 

The kicker would be if they sold beer."
aw1_bR_K0FQAXzPatDwuGQ,wD-dPZMlF59K2Z7mnhvPYg,BECNL-8EhodrowG0dryyWw,2021-06-10 23:34:00,5.0,"First Watch is an amazing place! 
It is busy, and it sounds like your on the market place. Love it! The menu is simple, but the food is not. It is packed so you might have to wait a bit. I had to wait, but they sent me a text message when the table is ready. I ordered the bacon, which actually tasted like a million dollar. The smoked salmon is of the hook-pun intended. 

Service is quick and friendly,and the kitchen is also doing a great job bringing out the many dishes people order to dine in, take out, or delivery. For sure one of the places in STL I will return too."
